algorithm,n,beta,detection_rate,mean_shd,std_shd,shd_label
PC,1000,0.0,0.0,7.05,2.39,7±2
PC,1000,0.05,0.0,7.7,2.05,8±2
PC,1000,0.1,0.0,8.85,1.57,9±2
PC,1000,0.15,0.0,9.45,1.85,9±2
PC,1000,0.2,0.05,9.55,1.9,10±2
PC,1000,0.25,0.15,9.15,2.28,9±2
FCI,1000,0.0,0.0,8.5,1.28,8±1
FCI,1000,0.05,0.0,10.05,1.39,10±1
FCI,1000,0.1,0.0,10.6,1.47,11±1
FCI,1000,0.15,0.0,10.7,1.81,11±2
FCI,1000,0.2,0.05,10.9,1.94,11±2
FCI,1000,0.25,0.15,10.45,2.11,10±2
GES,1000,0.0,0.0,8.45,3.73,8±4
GES,1000,0.05,0.35,10.45,3.83,10±4
GES,1000,0.1,0.45,10.4,3.22,10±3
GES,1000,0.15,0.6,10.8,3.71,11±4
GES,1000,0.2,0.65,11.1,3.02,11±3
GES,1000,0.25,0.75,10.4,3.33,10±3
GRaSP,1000,0.0,0.0,6.95,2.91,7±3
GRaSP,1000,0.05,0.0,7.6,2.6,8±3
GRaSP,1000,0.1,0.0,8.4,3.27,8±3
GRaSP,1000,0.15,0.2,8.9,3.43,9±3
GRaSP,1000,0.2,0.3,9.4,3.22,9±3
GRaSP,1000,0.25,0.6,8.55,2.86,9±3
ICA-LiNGAM,1000,0.0,0.05,1.15,0.59,1.1±0.6
ICA-LiNGAM,1000,0.05,0.05,2.0,0.46,2.0±0.5
ICA-LiNGAM,1000,0.1,0.35,1.75,0.64,1.8±0.6
ICA-LiNGAM,1000,0.15,0.85,1.25,0.64,1.2±0.6
ICA-LiNGAM,1000,0.2,0.95,1.15,0.59,1.1±0.6
ICA-LiNGAM,1000,0.25,1.0,1.1,0.55,1.1±0.6
DirectLiNGAM,1000,0.0,0.05,1.3,0.73,1.3±0.7
DirectLiNGAM,1000,0.05,0.05,2.15,0.67,2.1±0.7
DirectLiNGAM,1000,0.1,0.35,1.9,0.85,1.9±0.8
DirectLiNGAM,1000,0.15,0.85,1.4,0.88,1.4±0.9
DirectLiNGAM,1000,0.2,0.95,1.3,0.73,1.3±0.7
DirectLiNGAM,1000,0.25,1.0,1.25,0.72,1.2±0.7
PC,5000,0.0,0.0,5.35,1.31,5±1
PC,5000,0.05,0.0,6.85,2.23,7±2
PC,5000,0.1,0.0,8.6,0.75,8.6±0.8
PC,5000,0.15,0.0,8.15,0.37,8.2±0.4
PC,5000,0.2,0.05,8.05,1.0,8±1
PC,5000,0.25,0.1,8.25,1.48,8±1
FCI,5000,0.0,0.0,8.5,1.05,8±1
FCI,5000,0.05,0.0,9.2,1.47,9±1
FCI,5000,0.1,0.0,10.15,0.81,10.2±0.8
FCI,5000,0.15,0.0,10.0,0.56,10.0±0.6
FCI,5000,0.2,0.05,9.85,0.75,9.8±0.8
FCI,5000,0.25,0.1,9.2,1.06,9±1
GES,5000,0.0,0.0,8.45,5.44,8±5
GES,5000,0.05,0.4,9.5,5.32,10±5
GES,5000,0.1,0.8,8.95,3.89,9±4
GES,5000,0.15,0.7,12.1,5.45,12±5
GES,5000,0.2,0.7,11.45,5.03,11±5
GES,5000,0.25,0.65,11.6,3.53,12±4
GRaSP,5000,0.0,0.0,6.65,4.8,7±5
GRaSP,5000,0.05,0.0,8.6,5.11,9±5
GRaSP,5000,0.1,0.3,10.1,5.45,10±5
GRaSP,5000,0.15,0.7,8.65,5.58,9±6
GRaSP,5000,0.2,0.7,9.55,5.45,10±5
GRaSP,5000,0.25,0.65,11.15,5.13,11±5
ICA-LiNGAM,5000,0.0,0.0,0.35,0.49,0.3±0.5
ICA-LiNGAM,5000,0.05,0.5,0.85,0.75,0.8±0.8
ICA-LiNGAM,5000,0.1,1.0,0.35,0.49,0.3±0.5
ICA-LiNGAM,5000,0.15,1.0,0.35,0.49,0.3±0.5
ICA-LiNGAM,5000,0.2,1.0,0.35,0.49,0.3±0.5
ICA-LiNGAM,5000,0.25,1.0,0.35,0.49,0.3±0.5
DirectLiNGAM,5000,0.0,0.0,0.35,0.49,0.3±0.5
DirectLiNGAM,5000,0.05,0.5,0.85,0.75,0.8±0.8
DirectLiNGAM,5000,0.1,1.0,0.35,0.49,0.3±0.5
DirectLiNGAM,5000,0.15,1.0,0.35,0.49,0.3±0.5
DirectLiNGAM,5000,0.2,1.0,0.35,0.49,0.3±0.5
DirectLiNGAM,5000,0.25,1.0,0.35,0.49,0.3±0.5
PC,10000,0.0,0.0,5.4,2.16,5±2
PC,10000,0.05,0.0,8.4,3.07,8±3
PC,10000,0.1,0.0,9.05,1.5,9±2
PC,10000,0.15,0.0,8.65,1.42,9±1
PC,10000,0.2,0.05,8.45,1.32,8±1
PC,10000,0.25,0.1,9.05,1.99,9±2
FCI,10000,0.0,0.0,8.45,0.89,8.4±0.9
FCI,10000,0.05,0.0,9.6,1.35,10±1
FCI,10000,0.1,0.0,9.1,1.25,9±1
FCI,10000,0.15,0.0,9.95,0.94,9.9±0.9
FCI,10000,0.2,0.0,9.75,0.79,9.8±0.8
FCI,10000,0.25,0.05,8.85,0.88,8.8±0.9
GES,10000,0.0,0.05,6.95,5.33,7±5
GES,10000,0.05,0.6,9.7,5.68,10±6
GES,10000,0.1,0.7,8.75,5.5,9±6
GES,10000,0.15,0.8,9.85,5.07,10±5
GES,10000,0.2,0.7,11.2,5.36,11±5
GES,10000,0.25,0.85,9.7,5.3,10±5
GRaSP,10000,0.0,0.0,5.5,4.1,6±4
