algorithm,beta,n,seed,detected_race_to_loan,shd,beta_hat,wall_time_s
PC,0.0,1000,1000,0,10,,1.613
FCI,0.0,1000,1000,0,8,,0.031
GES,0.0,1000,1000,0,8,,0.05
GRaSP,0.0,1000,1000,0,8,,0.008
ICA-LiNGAM,0.0,1000,1000,0,1,0.0,0.027
DirectLiNGAM,0.0,1000,1000,0,1,0.0,0.056
PC,0.0,1000,1001,0,5,,0.016
FCI,0.0,1000,1001,0,8,,0.023
GES,0.0,1000,1001,0,17,,0.064
GRaSP,0.0,1000,1001,0,5,,0.008
ICA-LiNGAM,0.0,1000,1001,0,1,0.0,0.02
DirectLiNGAM,0.0,1000,1001,0,1,0.0,0.052
PC,0.0,1000,1002,0,10,,0.014
FCI,0.0,1000,1002,0,8,,0.019
GES,0.0,1000,1002,0,7,,0.029
GRaSP,0.0,1000,1002,0,7,,0.007
ICA-LiNGAM,0.0,1000,1002,0,1,0.0,0.022
DirectLiNGAM,0.0,1000,1002,0,1,0.0,0.081
PC,0.0,1000,1003,0,8,,0.015
FCI,0.0,1000,1003,0,10,,0.019
GES,0.0,1000,1003,0,10,,0.027
GRaSP,0.0,1000,1003,0,7,,0.006
ICA-LiNGAM,0.0,1000,1003,0,1,0.0,0.016
DirectLiNGAM,0.0,1000,1003,0,1,0.0,0.066
PC,0.0,1000,1004,0,8,,0.02
FCI,0.0,1000,1004,0,10,,0.024
GES,0.0,1000,1004,0,8,,0.037
GRaSP,0.0,1000,1004,0,13,,0.006
ICA-LiNGAM,0.0,1000,1004,0,1,0.0,0.018
DirectLiNGAM,0.0,1000,1004,0,1,0.0,0.052
PC,0.0,1000,1005,0,10,,0.019
FCI,0.0,1000,1005,0,8,,0.021
GES,0.0,1000,1005,0,10,,0.031
GRaSP,0.0,1000,1005,0,5,,0.008
ICA-LiNGAM,0.0,1000,1005,0,1,0.0,0.031
DirectLiNGAM,0.0,1000,1005,0,1,0.0,0.072
PC,0.0,1000,1006,0,8,,0.013
FCI,0.0,1000,1006,0,10,,0.018
GES,0.0,1000,1006,0,6,,0.035
GRaSP,0.0,1000,1006,0,13,,0.007
ICA-LiNGAM,0.0,1000,1006,0,1,0.0,0.017
DirectLiNGAM,0.0,1000,1006,0,1,0.0,0.066
PC,0.0,1000,1007,0,5,,0.025
FCI,0.0,1000,1007,0,8,,0.025
GES,0.0,1000,1007,0,12,,0.037
